time,count,speed
2024-02-25T12:50:59.000+01:00,1200,75
2024-02-25T12:55:59.000+01:00,960,74
2024-02-25T13:01:59.000+01:00,660,84
2024-02-25T13:05:59.000+01:00,720,71
2024-02-25T13:10:59.000+01:00,1020,75
2024-02-25T13:15:59.000+01:00,1020,78
2024-02-25T13:20:59.000+01:00,900,77
2024-02-25T13:25:59.000+01:00,1320,75
2024-02-25T13:30:59.000+01:00,1080,73
2024-02-25T13:35:59.000+01:00,1140,75
2024-02-25T13:40:59.000+01:00,1260,74
2024-02-25T13:46:59.000+01:00,720,71
2024-02-25T13:50:59.000+01:00,1200,71
2024-02-25T13:56:59.000+01:00,840,75
2024-02-25T14:00:59.000+01:00,1080,74
2024-02-25T14:05:59.000+01:00,1200,67
2024-02-25T14:10:59.000+01:00,900,78
2024-02-25T14:16:59.000+01:00,840,73
2024-02-25T14:21:59.000+01:00,1500,73
2024-02-25T14:25:59.000+01:00,1080,76
2024-02-25T14:31:59.000+01:00,1080,69
2024-02-25T14:36:59.000+01:00,840,72
2024-02-25T14:41:59.000+01:00,1080,72
2024-02-25T14:46:59.000+01:00,1200,74
2024-02-25T14:50:59.000+01:00,780,73
2024-02-25T14:55:59.000+01:00,900,72
2024-02-25T15:00:59.000+01:00,1260,74
2024-02-25T15:06:59.000+01:00,600,72
2024-02-25T15:11:59.000+01:00,840,74
2024-02-25T15:16:59.000+01:00,1080,74
2024-02-25T15:20:59.000+01:00,1080,69
2024-02-25T15:25:59.000+01:00,780,79
2024-02-25T15:31:59.000+01:00,1080,76
2024-02-25T15:36:59.000+01:00,600,76
2024-02-25T15:41:59.000+01:00,1020,78
2024-02-25T15:46:59.000+01:00,840,73
2024-02-25T15:51:59.000+01:00,1020,71
2024-02-25T15:56:59.000+01:00,960,68
2024-02-25T16:00:59.000+01:00,1020,76
2024-02-25T16:06:59.000+01:00,960,74
2024-02-25T16:10:59.000+01:00,720,83
2024-02-25T16:16:59.000+01:00,1020,75
2024-02-25T16:21:59.000+01:00,1080,77
2024-02-25T16:26:59.000+01:00,1320,74
2024-02-25T16:30:59.000+01:00,900,76
2024-02-25T16:36:59.000+01:00,840,71
2024-02-25T16:41:59.000+01:00,960,68
2024-02-25T16:46:59.000+01:00,900,76
2024-02-25T16:51:59.000+01:00,780,74
2024-02-25T16:56:59.000+01:00,1020,71
2024-02-25T17:00:59.000+01:00,780,76
2024-02-25T17:06:59.000+01:00,1020,71
2024-02-25T17:11:59.000+01:00,780,77
2024-02-25T17:16:59.000+01:00,1020,72
2024-02-25T17:21:59.000+01:00,1020,75
2024-02-25T17:26:59.000+01:00,780,71
2024-02-25T17:31:59.000+01:00,1080,73
2024-02-25T17:36:59.000+01:00,780,71
2024-02-25T17:41:59.000+01:00,840,67
2024-02-25T17:46:59.000+01:00,840,74
2024-02-25T17:51:59.000+01:00,1080,73
2024-02-25T17:56:59.000+01:00,1500,69
2024-02-25T18:01:59.000+01:00,780,75
2024-02-25T18:06:59.000+01:00,840,74
2024-02-25T18:11:59.000+01:00,540,70
2024-02-25T18:16:59.000+01:00,600,75
2024-02-25T18:21:59.000+01:00,1080,71
2024-02-25T18:26:59.000+01:00,840,71
2024-02-25T18:31:59.000+01:00,660,77
2024-02-25T18:36:59.000+01:00,780,75
2024-02-25T18:41:59.000+01:00,780,80
2024-02-25T18:46:59.000+01:00,1020,72
2024-02-25T18:51:59.000+01:00,840,71
2024-02-25T18:56:59.000+01:00,780,69
2024-02-25T19:01:59.000+01:00,720,76
2024-02-25T19:06:59.000+01:00,360,81
2024-02-25T19:11:59.000+01:00,600,81
2024-02-25T19:16:59.000+01:00,780,78
2024-02-25T19:21:59.000+01:00,420,76
2024-02-25T19:26:59.000+01:00,540,76
2024-02-25T19:31:59.000+01:00,480,79
2024-02-25T19:36:59.000+01:00,600,78
2024-02-25T19:41:59.000+01:00,420,77
2024-02-25T19:46:59.000+01:00,480,74
2024-02-25T19:51:59.000+01:00,600,77
2024-02-25T19:56:59.000+01:00,600,74
2024-02-25T20:01:59.000+01:00,780,73
2024-02-25T20:06:59.000+01:00,240,74
2024-02-25T20:11:59.000+01:00,600,76
2024-02-25T20:16:59.000+01:00,300,79
2024-02-25T20:21:59.000+01:00,720,74
2024-02-25T20:26:59.000+01:00,360,86
