time,count,speed
2024-02-25T12:49:59.000+01:00,240,71
2024-02-25T12:55:59.000+01:00,60,75
2024-02-25T12:58:59.000+01:00,60,71
2024-02-25T13:05:59.000+01:00,120,60
2024-02-25T13:10:59.000+01:00,120,78
2024-02-25T13:15:59.000+01:00,60,72
2024-02-25T13:20:59.000+01:00,60,75
2024-02-25T13:25:59.000+01:00,180,75
2024-02-25T13:26:59.000+01:00,60,77
2024-02-25T13:35:59.000+01:00,60,71
2024-02-25T13:40:59.000+01:00,60,75
2024-02-25T13:46:59.000+01:00,60,67
2024-02-25T13:56:59.000+01:00,60,81
2024-02-25T14:00:59.000+01:00,240,72
2024-02-25T14:05:59.000+01:00,180,71
2024-02-25T14:10:59.000+01:00,120,80
2024-02-25T14:16:59.000+01:00,120,70
2024-02-25T14:21:59.000+01:00,120,69
2024-02-25T14:24:59.000+01:00,60,80
2024-02-25T14:27:59.000+01:00,60,71
2024-02-25T14:36:59.000+01:00,60,71
2024-02-25T14:39:59.000+01:00,120,72
2024-02-25T14:45:59.000+01:00,120,82
2024-02-25T14:49:59.000+01:00,120,70
2024-02-25T14:55:59.000+01:00,60,64
2024-02-25T15:00:59.000+01:00,60,73
2024-02-25T15:02:59.000+01:00,60,73
2024-02-25T15:11:59.000+01:00,60,74
2024-02-25T15:15:59.000+01:00,60,69
2024-02-25T15:19:59.000+01:00,60,70
2024-02-25T15:23:59.000+01:00,120,71
2024-02-25T15:29:59.000+01:00,60,75
2024-02-25T15:35:59.000+01:00,60,78
2024-02-25T15:40:59.000+01:00,60,66
2024-02-25T15:46:59.000+01:00,60,73
2024-02-25T15:51:59.000+01:00,60,67
2024-02-25T15:57:59.000+01:00,60,72
2024-02-25T16:04:59.000+01:00,60,75
2024-02-25T16:21:59.000+01:00,60,77
2024-02-25T16:26:59.000+01:00,120,77
2024-02-25T16:29:59.000+01:00,120,70
2024-02-25T16:36:59.000+01:00,120,67
2024-02-25T16:41:59.000+01:00,120,64
2024-02-25T16:46:59.000+01:00,60,72
2024-02-25T16:50:59.000+01:00,60,64
2024-02-25T16:55:59.000+01:00,60,73
2024-02-25T16:59:59.000+01:00,60,75
2024-02-25T17:06:59.000+01:00,120,68
2024-02-25T17:07:59.000+01:00,180,77
2024-02-25T17:15:59.000+01:00,120,79
2024-02-25T17:21:59.000+01:00,60,74
2024-02-25T17:25:59.000+01:00,120,69
2024-02-25T17:30:59.000+01:00,60,72
2024-02-25T17:33:59.000+01:00,60,74
2024-02-25T17:40:59.000+01:00,60,71
2024-02-25T17:46:59.000+01:00,60,77
2024-02-25T17:51:59.000+01:00,60,81
2024-02-25T17:55:59.000+01:00,60,65
2024-02-25T17:58:59.000+01:00,120,72
2024-02-25T18:03:59.000+01:00,120,64
2024-02-25T18:11:59.000+01:00,60,77
2024-02-25T18:16:59.000+01:00,60,74
2024-02-25T18:21:59.000+01:00,60,73
2024-02-25T18:24:59.000+01:00,60,69
2024-02-25T18:30:59.000+01:00,60,58
2024-02-25T18:34:59.000+01:00,60,76
2024-02-25T18:38:59.000+01:00,60,73
2024-02-25T18:44:59.000+01:00,120,70
2024-02-25T18:56:59.000+01:00,120,68
2024-02-25T19:02:59.000+01:00,180,73
2024-02-25T19:08:59.000+01:00,60,77
2024-02-25T19:16:59.000+01:00,60,78
2024-02-25T19:26:59.000+01:00,60,64
2024-02-25T19:38:59.000+01:00,120,64
2024-02-25T19:45:59.000+01:00,60,81
2024-02-25T19:50:59.000+01:00,60,73
2024-02-25T19:56:59.000+01:00,60,69
2024-02-25T19:58:59.000+01:00,60,79
2024-02-25T20:05:59.000+01:00,60,77
2024-02-25T20:12:59.000+01:00,60,75
2024-02-25T20:18:59.000+01:00,60,77
